alias,gene
ENSG00000227232,WASH7P
ENSG00000243485,RP11-34P13.3
ENSG00000238009,RP11-34P13.7
ENSG00000233750,CICP27
ENSG00000268903,RP11-34P13.15
ENSG00000239906,RP11-34P13.14
ENSG00000241860,RP11-34P13.13
ENSG00000279457,FO538757.2
ENSG00000228463,AP006222.2
ENSG00000236601,RP4-669L17.2
ENSG00000237094,RP4-669L17.10
ENSG00000235146,RP5-857K21.2
ENSG00000239664,RP5-857K21.3
ENSG00000230021,RP5-857K21.4
ENSG00000225972,MTND1P23
ENSG00000225630,MTND2P28
ENSG00000276171,AC114498.1
ENSG00000237973,RP5-857K21.6
ENSG00000229344,RP5-857K21.7
ENSG00000240409,MTATP8P1
ENSG00000248527,MTATP6P1
ENSG00000198744,RP5-857K21.11
ENSG00000224956,RP11-206L10.1
ENSG00000235373,RP11-206L10.3
ENSG00000240618,RP11-206L10.5
ENSG00000229905,RP11-206L10.4
ENSG00000228327,RP11-206L10.2
ENSG00000237491,RP11-206L10.9
ENSG00000230092,RP11-206L10.8
ENSG00000177757,FAM87B
ENSG00000228794,LINC01128
ENSG00000225880,LINC00115
ENSG00000230368,FAM41C
ENSG00000234711,TUBB8P11
ENSG00000272438,RP11-54O7.16
ENSG00000223764,RP11-54O7.3
ENSG00000187634,SAMD11
ENSG00000188976,NOC2L
ENSG00000187961,KLHL17
ENSG00000187583,PLEKHN1
ENSG00000187642,PERM1
ENSG00000272512,RP11-54O7.17
ENSG00000188290,HES4
ENSG00000187608,ISG15
ENSG00000231702,RP11-54O7.10
ENSG00000224969,RP11-54O7.11
ENSG00000188157,AGRN
ENSG00000217801,RP11-465B22.3
ENSG00000237330,RNF223
ENSG00000131591,C1orf159
ENSG00000223823,LINC01342
ENSG00000205231,TTLL10-AS1
ENSG00000162571,TTLL10
ENSG00000186891,TNFRSF18
ENSG00000186827,TNFRSF4
ENSG00000078808,SDF4
ENSG00000176022,B3GALT6
ENSG00000184163,FAM132A
ENSG00000260179,RP5-902P8.12
ENSG00000160087,UBE2J2
ENSG00000230415,RP5-902P8.10
ENSG00000162572,SCNN1D
ENSG00000131584,ACAP3
ENSG00000169972,PUSL1
ENSG00000127054,CPSF3L
ENSG00000224051,CPTP
ENSG00000169962,TAS1R3
ENSG00000107404,DVL1
ENSG00000162576,MXRA8
ENSG00000175756,AURKAIP1
ENSG00000223663,RP5-890O3.3
